time,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,CPU8
14:20:20,36.0,1.0,28.7,1.0,21.0,1.0,18.0,1.0
14:20:21,40.2,1.0,24.0,1.0,17.0,2.0,16.0,1.0
14:20:22,34.0,0.0,24.0,1.0,18.0,0.0,11.9,1.0
14:20:23,36.6,2.0,27.0,1.0,17.8,1.0,11.0,2.0
14:20:24,33.0,1.0,24.8,1.0,19.0,1.0,11.0,0.0
14:20:25,35.0,0.0,24.8,1.0,19.0,1.0,13.0,1.0
14:20:26,37.6,1.0,23.0,1.0,17.0,0.0,13.7,2.0
14:20:27,39.4,1.0,30.7,0.0,26.7,2.0,20.8,1.0
14:20:28,39.0,1.0,24.8,2.0,17.8,1.0,14.1,0.0
14:20:29,37.6,0.0,26.3,1.0,22.8,1.0,18.0,2.0
14:20:30,36.6,2.0,25.7,1.0,18.2,2.0,18.0,1.0
14:20:31,32.3,1.0,27.0,1.0,18.8,0.0,15.0,1.0
14:20:32,39.6,4.0,26.7,2.0,22.0,2.0,18.0,2.0
14:20:33,37.0,1.0,28.0,0.0,20.8,1.0,18.8,0.0
14:20:34,43.6,1.0,36.0,2.0,28.0,2.0,25.0,2.0
14:20:35,37.0,1.0,26.0,1.0,19.0,0.0,13.0,1.0
14:20:36,34.7,1.0,26.0,0.0,18.8,1.0,16.0,0.0
14:20:37,35.0,1.0,27.0,1.0,17.2,0.0,12.9,2.0
14:20:38,35.6,0.0,25.7,1.0,21.8,1.0,14.0,0.0
14:20:39,35.0,1.0,25.0,1.0,18.0,1.0,12.9,1.0
14:20:40,35.0,0.0,26.7,1.0,22.0,2.0,16.0,1.0
14:20:41,38.2,2.0,30.7,2.0,20.8,0.0,18.8,1.0
14:20:42,39.0,0.0,26.7,0.0,20.0,1.0,14.9,1.0
14:20:43,34.7,1.0,26.0,1.0,19.8,0.0,13.9,0.0
14:20:44,33.0,0.0,26.0,0.0,20.0,1.0,13.0,1.0
14:20:45,34.0,0.0,25.7,1.0,16.8,1.0,13.0,1.0
14:20:46,37.0,2.0,25.0,1.0,19.0,1.0,11.0,1.0
14:20:47,36.6,0.0,22.0,0.0,13.0,0.0,10.9,0.0
14:20:48,38.6,1.0,21.8,1.0,13.9,0.0,9.0,1.0
14:20:49,42.0,1.0,27.0,1.0,19.2,2.0,16.0,1.0
14:20:50,35.6,0.0,21.0,0.0,15.8,0.0,8.9,1.0
14:20:51,34.0,1.0,22.0,1.0,13.9,0.0,11.0,0.0
14:20:52,34.0,0.0,24.0,0.0,14.1,1.0,8.0,1.0
14:20:53,34.0,0.0,27.0,0.0,16.7,0.0,11.9,0.0
14:20:54,35.0,1.0,23.8,1.0,12.1,1.0,8.1,0.0
14:20:55,36.6,1.0,22.0,1.0,15.8,1.0,12.7,1.0
14:20:56,33.0,0.0,26.7,0.0,17.0,0.0,13.1,1.0
14:20:57,35.0,1.0,36.0,1.0,21.2,1.0,22.0,1.0
14:20:58,31.7,0.0,24.0,0.0,15.8,0.0,12.9,0.0
14:20:59,35.6,1.0,24.8,1.0,17.8,1.0,12.9,2.0
14:21:00,36.0,1.0,27.7,1.0,19.8,1.0,13.0,0.0
14:21:01,35.6,0.0,27.7,1.0,20.0,0.0,14.7,0.0
14:21:02,41.0,2.0,31.0,2.0,23.0,3.0,18.2,1.0
14:21:03,44.0,2.0,45.0,2.0,31.7,2.0,31.0,3.0
14:21:04,40.6,1.0,35.6,0.0,21.0,2.0,20.0,0.0
14:21:05,32.7,1.0,24.0,1.0,19.0,1.0,14.0,2.0
14:21:06,32.3,0.0,25.7,1.0,18.8,0.0,17.8,0.0
