time,download,upload
12:08:36,83.08,48.57
12:08:56,83.4,50.5
12:09:17,83.44,49.9
12:09:37,84.72,49.94
12:09:57,83.79,48.89
12:10:18,83.79,48.93
12:10:38,84.81,50.14
12:10:59,83.83,47.35
12:11:19,86.49,50.18
12:11:39,86.0,48.4
12:12:00,87.1,49.22
12:12:20,84.58,46.28
12:12:40,85.58,49.69
12:13:01,84.46,49.94
12:13:21,84.89,49.42
12:13:41,85.07,49.97
12:14:01,85.1,50.54
12:14:21,83.56,49.93
12:14:42,84.85,49.46
12:15:02,84.92,48.75
12:15:23,83.29,50.17
12:15:43,84.82,49.65
12:16:03,84.51,47.33
12:16:24,85.54,49.76
12:16:44,79.36,49.1
12:17:05,84.54,48.08
12:17:25,84.68,49.34
12:17:45,85.29,49.12
12:18:06,86.17,48.68
12:18:26,74.88,49.09
12:18:46,60.79,48.93
12:19:07,83.31,49.85
12:19:27,83.32,50.29
12:19:48,82.51,49.41
12:20:08,83.73,49.47
12:20:28,83.85,47.51
12:20:49,83.36,48.7
12:21:09,84.49,44.68
12:21:29,84.3,49.69
12:21:50,76.95,49.12
12:22:10,85.07,49.48
12:22:31,82.97,48.77
12:22:51,85.17,49.5
12:23:11,84.44,47.58
12:23:32,83.2,46.5
12:23:52,84.69,49.79
12:24:12,84.18,42.45
12:24:33,87.23,49.3
12:24:53,85.76,48.95
12:25:13,87.27,49.55
12:25:34,82.48,48.33
12:25:54,85.49,50.14
12:26:14,84.41,49.77
12:26:35,83.64,48.51
12:26:55,79.84,49.63
12:27:16,83.93,49.35
12:27:36,83.98,48.14
12:27:56,59.3,48.17
12:28:17,86.43,49.69
12:28:37,84.26,50.6
12:28:57,84.77,50.17
12:29:18,83.85,47.97
12:29:38,84.26,48.75
12:29:58,84.53,49.42
12:30:19,83.62,49.34
12:30:39,84.2,47.86
12:30:59,86.52,49.49
12:31:20,85.5,50.3
12:31:41,84.12,39.43
12:32:01,58.26,48.43
12:32:21,60.42,46.75
12:32:42,85.34,46.71
12:33:02,84.91,49.07
12:33:22,85.24,49.13
12:33:43,85.09,50.99
12:34:03,83.18,49.3
12:34:23,85.44,50.44
12:34:43,81.38,50.16
12:35:04,82.46,49.0
12:35:24,82.15,50.55
12:35:45,82.86,42.37
